"Name","State","Notes","User","Tags","Created","Runtime","Sweep","E","alpha","del_rate","dn_rate","dup_rate","edge_rate","elite_size","exp_type","gens","nenv","node_cost","pop_size","proj","rep","season_length","average_fitness","average_grnsize","benefitial_mutation","deleterious_mutation","expression_robustness","fitness_robustness","gen","high","low","spec"
"D_500_10_10f38db1cb","crashed","-","molanu","","2020-12-03T15:26:24.000Z","107985","","10","10","0.01","0.005","0.005","0.05","0","D_500_10_10","100000","2","0.0001","1000","GRN_evolution","3","500","0.15432160171","6.217","0.44962098685628094","0.5503790131437191","0.8676","0.8684000000000002","0","0","63","37"
"D_500_10_10f97243df","crashed","-","molanu","","2020-12-03T15:26:23.000Z","107995","","10","10","0.01","0.005","0.005","0.05","0","D_500_10_10","100000","2","0.0001","1000","GRN_evolution","1","500","0.904206088258","16.705","0.04643589743589744","0.9335641025641026","0.9201999999999998","0.9214","0","0","1","99"
"D_200_30_5abc1bdcc","crashed","-","molanu","","2020-12-03T14:59:13.000Z","107972","","30","5","0.01","0.005","0.005","0.05","0","D_200_30_5","100000","2","0.0001","1000","GRN_evolution","2","200","0.1381127070088519","0.314","0.5734969609032037","0.42650303909679627","0.215","0.2172","0","0","100","0"
"D_200_30_503dcc91d","crashed","-","molanu","","2020-12-03T14:56:44.000Z","107967","","30","5","0.01","0.005","0.005","0.05","0","D_200_30_5","100000","2","0.0001","1000","GRN_evolution","1","200","0.2413620040396296","0.29","0.49712557525760315","0.5028744247423969","0.20340000000000005","0.207","1","0","99","0"
"D_200_30_20b3bda742","crashed","-","molanu","","2020-12-03T14:45:25.000Z","108013","","30","20","0.01","0.005","0.005","0.05","0","D_200_30_20","100000","2","0.0001","1000","GRN_evolution","5","200","0.5165697785562963","0.444","0.2036008822607553","0.7963991177392448","0.5564","0.5572","0","0","100","0"
"D_200_30_204cb6060a","crashed","-","molanu","","2020-12-03T14:40:42.000Z","107983","","30","20","0.01","0.005","0.005","0.05","0","D_200_30_20","100000","2","0.0001","1000","GRN_evolution","4","200","0.5035906735209259","0.282","0.225292025087438","0.7747079749125619","0.4912","0.4932000000000001","0","0","100","0"
"D_200_30_2093341ae1","crashed","-","molanu","","2020-12-03T14:36:16.000Z","108005","","30","20","0.01","0.005","0.005","0.05","0","D_200_30_20","100000","2","0.0001","1000","GRN_evolution","3","200","0.5116578000717037","0.526","0.28770447083274936","0.7122955291672507","0.5579999999999999","0.5592000000000001","0","0","100","0"
"D_200_30_20539b537b","crashed","-","molanu","","2020-12-03T14:34:14.000Z","107991","","30","20","0.01","0.005","0.005","0.05","0","D_200_30_20","100000","2","0.0001","1000","GRN_evolution","2","200","0.30206947040751847","0.144","0.355269366135743","0.6447306338642569","0.5294000000000001","0.53","75","0","25","0"
"D_200_30_20e3f09297","crashed","-","molanu","","2020-12-03T14:33:40.000Z","107988","","30","20","0.01","0.005","0.005","0.05","0","D_200_30_20","100000","2","0.0001","1000","GRN_evolution","1","200","0.5587577005440741","0.264","0.17507290276817447","0.8249270972318256","0.5554","0.5574","0","0","100","0"
"D_200_30_108db64cc4","crashed","-","molanu","","2020-12-03T14:31:25.000Z","107989","","30","10","0.01","0.005","0.005","0.05","0","D_200_30_10","100000","2","0.0001","1000","GRN_evolution","5","200","0.30396953808325927","0.304","0.3972402149124706","0.6027597850875295","0.4614000000000001","0.46520000000000006","29","0","71","0"
